//index 	rate	name	Level	HP	MP	damagemin	damagemax	defence	magicdefence	attackrating	successfulbloking	moverange 	attacktype	attackrange	viewrange	movespeed	attackspeed	regentime	attribute	itemrate	moneyrate	maxItemlevel	skill	"//저항력(독,얼음,번개,불)"	얼음	번개	불
// 1= posion,  17= specjalne dalekosiezne, 11= elecktric quen, 3= blyskawice, 7= zamrazanie, 0= obrazenia reczne, 150= specajlne przypisane, 2= xxxx , 50= od plapek, 24= xxxxx
0	1	"Bull Fighter"		6	120	0	19	26	6	0	30	6	3	0	1	5	400	1600	10	2	130	10	5	0	0	0	0	0
1	1	"Hound"			9	160	0	25	35	9	0	45	9	3	0	1	5	400	1600	10	2	130	10	5	0	0	0	0	0
2	1	"Budge Dragon"		4	80	0	12	17	3	0	20	3	3	0	1	4	400	2000	10	2	120	10	5	0	0	0	0	0
3	1	"Spider"			2	40	0	6	8	1	0	10	1	2	0	1	5	400	1800	10	2	120	10	5	0	0	0	0	0
4	1	"Elite Bull Fighter"		12	220	0	35	44	12	0	60	12	3	0	1	4	400	1400	10	2	140	12	5	0	0	0	0	0
5	1	"Hell Hound"		38	1400	0	125	130	55	0	190	45	3	0	1	4	400	1200	10	2	190	14	4	0	0	0	0	3
6	1	"Lich"			14	260	40	45	52	14	0	70	14	3	0	4	7	400	2000	10	2	150	12	5	0	0	0	0	1
7	1	"Giant"			17	500	0	60	70	18	0	85	18	2	0	2	3	400	2200	10	2	150	12	5	0	0	0	0	0
8	1	"Poison Bull"		46	2500	0	145	150	75	0	230	61	3	150	1	5	400	1400	10	2	190	14	3	0	6	0	0	0
9	1	"Thunder Lich"		44	2000	0	140	145	70	0	220	55	3	150	4	7	400	2200	10	2	190	14	3	0	0	0	3	0

10	1	"Dark Knight"		48	3000	0	150	155	80	0	240	70	3	0	1	5	400	1400	10	2	200	14	3	0	3	3	3	3
11	1	"Ghost"			32	1000	0	110	115	40	0	160	39	3	0	1	5	400	1400	10	2	190	14	4	0	2	2	2	2
12	1	"Larva"			25	750	0	90	95	31	0	125	31	3	150	1	4	400	1800	10	2	200	14	4	0	0	0	0	0
13	1	"Hell Spider"		40	1600	0	130	135	60	0	200	47	3	150	4	7	400	1600	10	2	190	14	4	0	3	0	0	0
14	1	"Skeleton Warrior"		19	600	0	70	78	22	0	95	22	2	0	1	4	400	1400	10	2	160	12	5	0	0	0	0	0
15	1	"Skeleton Archer"		34	1100	0	115	120	45	0	170	41	2	0	5	7	400	2000	10	2	190	14	4	0	0	0	0	0
16	1	"Elike Skeleton"		42	1800	0	135	140	65	0	210	49	2	0	1	4	400	1600	10	2	190	14	4	0	0	0	0	0
17	1	"Cyclops"		28	850	0	100	105	35	0	140	35	3	0	1	4	400	1600	10	2	170	14	4	0	2	0	0	0
18	1	"Gorgon"			55	6000	0	165	175	100	0	275	82	3	0	1	7	400	1600	150	2	160	14	3	0	6	6	6	6
19	1	"Yeti"			30	900	0	105	110	37	0	150	37	2	150	4	6	400	2000	10	2	180	14	4	0	0	2	0	0

20	1	"Elite Yeti"		36	1200	0	120	125	50	0	180	43	3	0	1	6	400	1400	10	2	180	14	4	0	0	3	0	0
21	1	"Assassin"		26	800	0	95	100	33	0	130	33	2	0	1	7	400	2000	10	2	180	14	4	0	0	0	0	0
22	1	"Ice Monster"		22	650	0	80	85	27	0	110	27	2	150	1	5	400	2000	10	2	170	14	5	0	0	4	0	0
23	1	"Hommerd"		24	700	0	85	90	29	0	120	29	3	0	1	5	400	1600	10	2	170	14	5	0	0	2	0	0
24	1	"Worm"			20	600	0	75	80	25	0	100	25	3	0	1	4	400	1600	10	2	160	14	5	0	0	0	0	0
25	1	"Ice Queen"		52	4000	0	155	165	90	0	260	76	3	150	4	7	400	1400	50	2	180	14	3	0	4	4	4	4
26	1	"Goblin"			3	60	0	9	11	2	0	15	2	2	0	1	4	400	1800	10	2	120	10	5	0	0	0	0	0
27	1	"Chain Scorpion"		5	100	0	14	20	4	0	25	4	3	0	1	4	400	1800	10	2	120	10	5	0	0	0	0	0
28	1	"Beetle Monster"		10	180	0	30	40	10	0	50	10	3	0	1	5	400	1600	10	2	140	10	5	0	0	0	0	0
29	1	"Hunter"			13	240	0	40	48	13	0	65	13	3	0	4	4	400	1600	10	2	140	12	5	0	0	0	0	0

30	1	"Forest Monster"		15	320	0	50	58	15	0	75	15	3	0	1	4	400	1600	10	2	150	12	5	0	0	0	0	0
31	1	"Agon"			16	400	0	55	62	16	0	80	16	2	0	1	4	400	1400	10	2	150	12	5	0	0	0	0	0
32	1	"Stone Golem"		18	550	0	65	74	20	0	90	20	2	0	2	3	400	2200	10	2	160	12	5	0	0	0	0	0
33	1	"Elite Goblin"		8	140	0	22	32	8	0	40	8	3	0	1	5	400	1600	10	2	130	10	5	0	0	0	0	0
34	1	"Cursed Wizard"		54	4000	0	160	170	95	0	270	70	3	150	4	7	400	2000	10	2	200	14	3	0	5	5	5	5
35	1	"Death Gorgon"		64	6000	0	200	210	130	0	320	94	3	150	1	7	400	2000	100	2	180	14	3	0	6	6	6	6
36	1	"Shadow"		47	2800	0	148	153	78	0	235	67	3	0	1	5	400	1400	10	2	200	14	3	0	3	3	3	3
37	1	"Devil"			60	5000	0	180	195	115	0	300	88	3	150	4	7	400	2000	10	2	200	14	3	0	5	5	5	5
38	1	"Balrog"			66	9000	0	220	240	160	0	330	99	3	150	2	7	400	1600	150	2	160	14	3	0	9	7	9	9
39	1	"Poison Shadow"		50	3500	0	155	160	85	0	250	73	3	150	1	5	400	1400	10	2	200	14	3	0	4	4	4	4

40	1	"Death Knight"		62	5500	0	190	200	120	0	310	91	3	0	1	7	400	1800	10	2	200	14	3	0	6	6	6	6
41	1	"Death Cow"		57	4500	0	170	180	110	0	285	85	3	0	1	7	400	1600	10	2	200	14	3	0	5	5	5	5
//42 	1 	"Red Dragon" 		120 	197000 	0 	6660 	8720 	1900 	0 	1920 	1990 	3 	150 	2600 	15 	2 	175 	14 	3 	0 	9 	7 	9 	9
43	1	"Golden Budge Dragon"	15	2200	0	120	125	45	0	75	30	3	0	1	7	400	1400	600	2	10	10	0	0	2	2	2	2
44	1	"Dragon"			60	15000	0	190	210	120	0	300	88	3	150	2	7	400	1800	100	2	50	10	0	0	9	7	9	9
45	1	"Bahamut"		43	2400	0	130	140	65	0	215	52	2	0	1	4	400	1600	8	2	185	14	3	0	0	0	0	0
46	1	"Vepar"			45	2800	0	135	145	70	0	225	58	3	150	4	7	400	1600	8	2	185	14	3	0	0	0	3	0
47	1	"Valkyrie"		46	3200	0	140	150	75	0	230	64	3	0	5	7	400	1800	8	2	185	14	3	0	6	0	0	0
48	1	"Lizard King"		70	9000	0	240	270	180	0	350	115	3	150	3	7	400	1600	15	2	175	14	3	0	9	7	9	9
49	1	"Hydra"			74	19000	0	250	310	200	0	430	125	3	150	4	7	400	1400	150	2	175	14	3	0	9	7	9	9

50	1	"Sea Worm"		66	7000	0	210	230	150	0	330	98	3	0	2	7	400	1600	15	2	175	14	3	0	9	7	9	9
51	1	"Great Bahamut"		67	7000	0	210	230	150	0	330	98	3	0	2	7	400	1600	15	2	175	14	3	0	9	7	9	9
52	1	"Silver Valyrie"		68	8000	0	230	260	170	0	340	110	3	150	4	7	400	1600	15	2	175	14	3	0	9	7	9	9
57	1	"Iron Wheel"		80	19000	0	300	350	230	0	480	150	3	0	4	7	400	1400	10	2	160	30	3	0	9	7	9	9
58	1	"Tantallos"		82	23000	0	340	410	250	0	490	160	3	150	2	7	400	1400	20	2	160	30	3	0	9	7	9	9
59	1	"Zaikan"			90	34000	0	510	590	400	0	550	185	3	150	5	7	400	1400	150	2	160	30	3	0	9	7	9	9

60	1	"Bloody Wolf"		76	13000	0	260	290	200	0	450	140	3	0	2	7	400	1400	10	2	170	30	3	0	9	7	9	9
61	1	"Vim Knight"		84	27000	0	370	450	270	0	500	170	3	150	4	7	400	1400	20	2	160	30	3	0	9	7	9	9
62	1	"Mutant"			72	12000	0	250	280	190	0	380	130	3	0	1	7	400	1400	10	2	170	30	3	0	9	7	9	9
63	1	"Deathvimknight"		93	40000	0	590	650	420	0	575	220	3	150	5	7	400	1400	150	2	130	30	3	0	9	7	9	9
64	1	"Orc Archer"		70	10000	0	220	250	170	0	350	96	3	0	4	7	400	1600	10	2	200	14	3	0	5	5	5	5
65	1	"Elite Orc"		74	14000	0	260	290	190	0	400	125	3	150	1	7	400	2000	100	2	180	14	3	0	9	7	9	9
66	1	"Cursed King"		86	38000	0	500	570	350	0	525	180	3	150	4	7	400	1400	70	2	200	30	3	0	9	7	9	9
67	1	"Metal Balrog"		77	26000	0	300	360	220	0	385	150	3	150	2	7	400	1600	200	2	160	14	3	0	9	7	9	9
68	1	"Molt"			78	16000	0	310	370	240	0	470	175	3	150	5	5	400	1400	10	2	160	14	4	0	9	7	9	9
69	1	"Alquamos"		78	16000	0	280	330	220	0	470	175	3	150	5	5	400	1400	10	2	160	14	4	0	9	7	9	9

//Icarus
70	1	"Queen Rainer"		85	29000	0	410	490	300	0	520	210	3	150	3	5	400	1400	10	2	160	14	4	0	9	7	9	9
71	1	"Mega Crust"		81	22000	0	320	370	240	0	495	185	3	0	1	5	400	1400	10	2	160	14	3	0	9	7	9	9
72	1	"Phantom Knight"		96	48000	0	600	670	450	0	720	275	3	150	2	5	400	1400	30	2	150	14	3	0	9	7	9	9
73	1	"Drakan"			88	35000	0	480	530	360	0	530	255	3	150	5	5	400	1400	20	2	160	14	4	0	9	7	9	9
74	1	"Alpha Crust"		92	38000	0	530	600	410	0	570	265	3	0	1	5	400	1400	10	2	160	14	4	0	9	7	9	9
75	1	"Giant Drakan"		100	57000	0	660	720	500	0	820	290	3	150	5	5	400	1400	30	2	140	14	3	0	9	7	9	9
76	1	"Dark Phoenix Shield"	106	73000	0	850	960	580	0	840	305	3	150	3	5	400	1400	10	2	190	14	3	0	9	7	9	9
77	1	"Dark Phoenix"		110	150000	0	1000	1100	600	0	950	350	1	17	6	7	400	1500	150	2	120	14	4	0	9	7	9	9

//Zlote Moby podkrecone x 2/3/4/5 od standardu
53	1	"Golden Titan"		53	10000	0	350	450	200	0	450	200	3	150	3	7	400	2000	20	2	200	14	3	0	5	5	5	5
54	1	"Golden Solider"		46	6000	0	250	280	100	0	300	100	3	0	5	7	400	1800	20	2	200	14	3	0	3	3	3	3
55	1	"Death King"		30	3000	0	150	170	60	0	200	80	2	0	2	6	400	1800	20	2	200	14	3	0	2	2	2	2
56	1	"Death Bone"		24	1000	0	100	150	50	0	180	60	3	0	1	5	400	1600	20	2	200	14	4	0	1	1	1	1

78	1	"Golden Goblin"		20	5000	0	250	280	100	0	200	100	3	0	1	7	400	1400	600	2	10	10	0	0	2	2	2	2
79	1	"Golden Dragon"		80	120000	0	1000	1100	1400	0	1000	400	3	150	4	9	400	1800	5	2	50	10	0	0	72	72	72	72
80	1	"Golden Lizard King"	83	320000	0	1500	1600	1800	0	1200	600	3	150	15	20	400	1600	15	2	175	14	3	0	72	72	72	72
81	1	"Golden Soldier"	61	12000	0	300	400	200	0	400	200	3	150	4	7	400	1600	8	2	185	14	3	0	0	0	3	0
82	1	"Golden Tantalos"	90	1000000	0	3500	4500	3000	0	2000	1500	3	150	30	40	400	1400	70	2	180	30	3	0	72	72	72	72
83	1	"Golden Wheel"		77	60000	0	1000	1400	500	0	500	300	3	0	5	7	400	1400	70	2	180	30	3	0	9	7	9	9

//Blood Castle level 1 (15 ~ 80)																											
84	1	"Orc Warrior"		33	1100	0	100	120	55	0	190	45	3	0	1	3	400	2000	10	2	300	200	3	0	0	0	0	0
85	1	"Orc Archer"		37	1400	0	110	130	65	0	210	49	3	0	5	7	400	1600	10	2	300	200	3	0	0	0	0	0
86	1	"Elite Orc"		41	1700	0	120	140	75	0	230	61	3	0	1	3	400	2000	10	2	250	150	3	0	0	0	0	0
87	1	"Spirit Beast"		44	2100	0	130	150	85	0	250	73	3	150	5	7	400	1600	10	2	250	150	3	0	0	0	0	0
88	1	"Spirit Knight"		47	2800	0	140	160	95	0	270	77	3	0	1	3	400	2000	10	2	200	100	3	0	0	0	0	0
89	1	"Spirit Sorcerer"		51	3700	0	150	180	115	0	300	88	4	150	4	6	400	1600	10	2	150	50	4	0	3	3	3	3
																											
//Blood Castle level 2 (81 ~ 130)																											
90	1	"Orc Warrior"		49	3500	0	140	170	90	0	250	76	3	0	1	3	400	2000	10	2	300	200	3	0	1	1	1	1
91	1	"Orc Archer"		53	4100	0	150	180	100	0	275	80	3	0	5	7	400	1600	10	2	300	200	3	0	1	1	1	1
92	1	"Elite Orc"		56	5000	0	160	190	115	0	300	88	3	0	1	3	400	2000	10	2	250	150	3	0	1	1	1	1
93	1	"Spirit Beast"		60	6000	0	175	210	130	0	320	95	3	150	5	7	400	1600	10	2	250	150	3	0	1	1	1	1
94	1	"Spirit Knight"		64	7000	0	185	220	170	0	360	110	3	0	1	3	400	2000	10	2	200	100	3	0	1	1	1	1
95	1	"Spirit Sorcerer"		69	8000	0	200	240	190	0	400	130	4	150	4	6	400	1800	10	2	150	50	4	0	4	4	4	4
																											
//Blood Castle level 3 (131 ~ 180)																											
96	1	"Orc Warrior"		56	5000	0	160	180	110	0	300	85	3	0	1	3	400	2000	10	2	300	200	3	0	2	2	2	2
97	1	"Orc Archer"		61	6500	0	180	200	120	0	330	93	3	0	5	7	400	1600	10	2	300	200	3	0	2	2	2	2
98	1	"Elite Orc"		66	8000	0	190	220	150	0	360	98	3	0	1	3	400	2000	10	2	250	150	3	0	2	2	2	2
99	1	"Spirit Beast"		70	9500	0	210	240	180	0	400	115	3	150	5	7	400	1600	10	2	250	150	3	0	2	2	2	2
111	1	"Spirit Knight"		74	12000	0	220	260	190	0	440	130	3	0	1	3	400	2000	10	2	200	100	3	0	2	2	2	2
112	1	"Spirit Sorcerer"		79	15000	0	230	280	240	0	500	180	4	150	4	6	400	1800	10	2	150	50	4	0	5	5	5	5
																											
//Blood Castle level 4 (181 ~ 230)																											
113	1	"Orc Warrior"		64	7500	0	180	220	150	0	340	98	3	0	1	3	400	2000	10	2	300	200	3	0	4	4	4	4
114	1	"Orc Archer"		69	9500	0	200	240	170	0	380	110	3	0	5	7	400	1600	10	2	300	200	3	0	4	4	4	4
115	1	"Elite Orc"		75	12000	0	220	260	190	0	440	130	3	0	1	3	400	2000	10	2	250	150	3	0	4	4	4	4
116	1	"Spirit Beast"		79	15000	0	250	290	210	0	500	150	3	150	5	7	400	1600	10	2	250	150	3	0	4	4	4	4
117	1	"Spirit Knight"		82	18000	0	270	320	290	0	560	170	3	0	1	3	400	2000	10	2	200	100	3	0	4	4	4	4
118	1	"Spirit Sorcerer"		84	24000	0	300	350	360	0	640	200	4	150	4	6	400	1800	10	2	150	50	4	0	7	7	7	7
																											
//Blood Castle level 5 (231 ~ 280)																											
119	1	"Orc Warrior"		70	12000	0	210	270	185	0	380	125	3	0	1	3	400	2000	10	2	300	200	3	0	5	5	5	5
120	1	"Orc Archer"		75	15000	0	240	300	190	0	420	130	3	0	5	7	400	1600	10	2	300	200	3	0	5	5	5	5
121	1	"Elite Orc"		80	19000	0	280	340	220	0	470	175	3	0	1	3	400	2000	10	2	250	150	3	0	5	5	5	5
122	1	"Spirit Beast"		85	23000	0	340	390	300	0	520	190	3	150	5	7	400	1600	10	2	250	150	3	0	5	5	5	5
123	1	"Spirit Knight"		87	26000	0	370	410	400	0	650	200	3	0	1	3	400	2000	10	2	200	100	3	0	5	5	5	5
124	1	"Spirit Sorcerer"		90	32000	0	400	460	450	0	720	260	4	150	4	6	400	1800	10	2	150	50	4	0	8	8	8	8
																											
//Blood Castle level 6 (281 ~ )																											
125	1	"Orc Warrior"		76	17000	0	260	290	210	0	460	150	3	0	1	3	400	2000	10	2	300	200	3	0	6	6	6	6
126	1	"Orc Archer"		81	20000	0	320	350	270	0	520	160	3	0	5	7	400	1600	10	2	300	200	3	0	6	6	6	6
127	1	"Elite Orc"		86	25000	0	390	420	360	0	580	195	3	0	1	3	400	2000	10	2	250	150	3	0	6	6	6	6
128	1	"Spirit Beast"		90	32000	0	440	500	400	0	660	200	3	150	5	7	400	1600	10	2	250	150	3	0	6	6	6	6
129	1	"Spirit Knight"		94	38000	0	480	540	450	0	720	260	3	0	1	3	400	2000	10	2	200	100	3	0	6	6	6	6
130	1	"Spirit Sorcerer"		99	47000	0	530	580	500	0	840	280	4	150	4	6	400	1800	10	2	150	50	4	0	9	9	9	9

//Blood Castle 7
//138	1	"Orc Warrior"		78	22000	0	310	350	1250	0	1580	1175	3	0	1	3	400	2000	10	2	300	200	3	0	6	6	6	6
//139	1	"Orc Archer"		83	25000	0	370	420	1320	0	1620	1190	3	0	5	7	400	1600	10	2	300	200	3	0	6	6	6	6
//140	1	"Elite Orc"		88	32000	0	440	500	1410	0	1690	1220	3	0	1	3	400	2000	10	2	250	150	3	0	6	6	6	6
//141	1	"Spirit Beast"		92	40000	0	490	560	1450	0	1680	1210	3	150	5	7	400	1600	10	2	250	150	3	0	6	6	6	6
//142	1	"Spirit Knight"		96	50000	0	540	600	1500	0	1770	1300	3	0	1	3	400	2000	10	2	200	100	3	0	6	6	6	6
//143	1	"Spirit Sorcerer"		100	60000	0	630	700	1550	0	1950	1320	4	150	4	6	400	1800	10	2	150	50	4	0	9	9	9	9

//Gate and Statue
131	1	"Gate"			2	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9
132	1	"Statue1"			2	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9
133	1	"Statue2"			2	80000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9
134	1	"Statue3"			2	90000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9

//Orc And White Wizards
135	1	"White Wizards"		104	60000	0	630	700	550	0	950	320	4	150	4	6	400	1800	10	2	150	50	4	0	9	9	9	9
136	1	"Orc Soldiers of Destruction"	98	50000	0	540	600	500	0	770	300	3	0	1	3	400	2000	10	2	200	100	3	0	6	6	6	6
137	1	"Orc Archer of Destruction"	87	25000	0	370	420	320	0	620	190	3	0	5	7	400	1600	10	2	300	200	3	0	6	6	6	6

//Kalima Monster
//Kalima1
147 	1 	"Aegis" 			27 	990 	0 	95 	114 	39 	0 	950 	39 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
148 	1 	"Lord Cen" 		29 	1100 	0 	100 	120 	41 	0 	950 	41 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9
146 	1 	"Bloody Solr" 		32 	1250 	0 	105 	125 	45 	0 	950 	44 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
144 	1 	"Death Angel" 		34 	1550 	0 	115 	130 	50 	0 	950 	49 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
149 	1 	"Necron" 			38 	1950 	0 	125 	140 	59 	0 	950 	53 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
145 	1 	"Death Cent" 		43 	2300 	0 	135 	150 	70 	0 	950 	62 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
160 	1 	"Schriker" 		50 	3200 	0 	155 	174 	90 	0 	950 	78 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
161 	1 	"Illusion" 			65 	15000 	0 	200 	400 	150 	0 	950 	100 	4 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 

//Kalima2
//177 	1 	"Aegis" 			42 	2050 	0 	135 	150 	68 	0 	950 	54 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
//178 	1 	"Lord Cen" 		44 	2350 	0 	140 	150 	75 	0 	950 	60 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
//176 	1 	"Bloody Solr" 		47 	2700 	0 	145 	160 	81 	0 	950 	67 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
//174 	1 	"Death Angel" 		50 	3200 	0 	155 	170 	90 	0 	950 	74 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
//179 	1 	"Necron" 			53 	3900 	0 	167 	180 	100 	0 	950 	81 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
//175 	1 	"Death Cent" 		58 	4900 	0 	180 	200 	117 	0 	950 	91 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
//180 	1 	"Schriker" 		65 	8450 	0 	205 	230 	145 	0 	950 	100 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
//181 	1 	"Illusion" 			80 	30000 	0 	400 	600 	200 	0 	950 	150 	4 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 

//DareDevil (z kalimy2)
178 	1 	"Lord Cen" 		120	200000	0	2500	3000	1000	0	2000	1000	1	150	2	11	400	1500	150	2	120	14	4	0	20	20	20	20
179 	1 	"Necron" 		130	200000	0	3000	3500	1500	0	3000	1500	1	150	2	11	400	1500	150	2	120	14	4	0	20	20	20	20
175 	1 	"Death Cent" 		140	200000	0	4000	5000	2000	0	4000	2000	1	150	2	11	400	1500	150	2	120	14	4	0	20	20	20	20
180 	1 	"Schriker" 		150	200000	0	6000	7000	2500	0	5000	3000	1	150	2	11	400	1500	150	2	120	14	4	0	20	20	20	20
181 	1 	"Illusion" 		160	200000	0	9000	10000	3000	0	7000	5000	1	150	2	11	400	1500	150	2	120	14	4	0	20	20	20	20


//Kalima3
185 	1 	"Aegis" 			57 	4800 	0 	170 	190 	115 	0 	950 	90 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
186 	1 	"Lord Cen" 		59 	5110 	0 	180 	200 	120 	0 	950 	95 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
184 	1 	"Bloody Soler" 		62 	5730	0 	190 	215 	130 	0 	950 	99 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
182 	1 	"Death Angel" 		65 	6750	0 	205 	240 	145 	0 	950 	107 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
187 	1 	"Necron" 			68 	8450 	0 	230 	275 	170 	0 	950 	117 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
183 	1 	"Death Cent" 		73 	11600 	0 	260 	310 	198 	0 	950	129	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
//188 	1 	"Schriker" 		80 	17500 	0 	335 	355 	255 	0 	950 	155 	3 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
188 	1 	"Schriker new"		110	150000	0	1000	1100	600	0	950	350	1	150	6	7	400	1500	150	2	120	14	4	0	9	7	9	9
189 	1 	"Illusion new"		86	38000	0	500	570	350	0	525	180	3	150	4	7	400	1400	70	2	200	30	3	0	9	7	9	9
//189 	1 	"Illusion" 		95 	60000 	0 	600 	800 	400 	0 	950 	200 	4 	150 	6 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 

//Kalima4
193 	1 	"Aegis" 			72 	10000 	0 	245 	290 	190 	0 	950 	125 	3 	150 	3 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
194 	1 	"Lord Cent" 		74 	11700 	0 	265	310	200 	0 	950 	130 	3 	150 	3 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
192 	1 	"Bloody Solr" 		77 	14000 	0 	295 	330 	215 	0 	950 	140 	3 	150 	3 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
190 	1 	"Death Angel" 		80 	17500 	0 	335 	370 	235 	0 	950	155 	3 	150 	3 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
195 	1 	"Necron" 			83 	23000 	0 	390 	420 	275 	0 	950 	180 	3 	150 	3 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
191 	1 	"Death Cent" 		88 	32000	0 	460 	530 	330 	0 	950 	215 	3 	150 	3 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
196 	1 	"Schriker" 		95 	43000 	0 	530 	640 	415 	0 	950 	255 	3 	150 	3 	7 	400 	1500 	10 	2 	120 	14 	4 	0 	9 	7 	9 	9 
