//Created by Cougar
//Index	Name			Min	Max	Mana	Skill	Unk	Unk	DWSM	DKBK	EME	MG
1	"Poison"			30	12	42	0	6	10	1	0	0	1															
2	"Meteorite"		21	21	12	0	6	10	1	0	0	1															
3	"Lightning"		13	17	15	0	6	10	1	0	0	1															
4	"Fire Ball"		5	8	3	0	6	10	1	0	0	1															
5	"Flame"			35	25	50	0	6	10	1	0	0	1															
6	"Teleport"		17	0	30	0	6	10	1	0	0	0															
7	"Ice"			25	10	38	0	6	10	1	0	0	1															
8	"Twister"			40	35	60	0	6	10	1	0	0	1
9	"Evil Spirits"		50	45	90	0	3	5	1	0	0	1
10	"Hell Fire"		60	120	160	0	0	10	1	0	0	1
11	"Power Wave"		9	14	5	0	6	10	1	0	0	1															
12	"Aqua Beam"		74	80	140	0	6	11	1	0	0	1
13	"Blast"			80	70	150	0	3	13	1	0	0	1
14	"Inferno"			93	100	200	0	0	15	1	0	0	1
15	"Mass Teleport"		0	0	90	25	6	20	2	0	0	0
16	"Mana Shield"		0	0	70	22	6	17	1	0	0	0
17	"Energy Ball"		2	3	1	0	6	10	1	0	0	0															
18	"Defense"		0	0	30	0	0	10	0	1	0	1
19	"Earth Cut"		0	0	9	0	3	10	0	1	0	1
20	"Stab"			0	0	9	0	2	10	0	1	0	1
21	"Upper Cut"		0	0	8	0	2	10	0	1	0	1
22	"Spin Attack"		0	0	9	0	2	10	0	1	0	1
23	"Cross Sword"		0	0	10	0	2	10	0	1	0	1
24	"Multi Arrow"		0	0	5	0	6	10	0	0	1	0

25	"Penetration"		0	0	7	18	6	10	0	0	1	0

26	"Heal"			8	0	20	0	6	10	0	0	1	0
27	"Defensive Bless"		13	0	30	0	6	10	0	0	1	0
28	"Offensive Bless"		18	0	40	0	6	10	0	0	1	0

30	"Summon Goblin"		0	0	40	0	0	9	0	0	1	0
31	"Summon Golem"		0	0	70	0	0	17	0	0	1	0
32	"Summon Assassin"	0	0	110	0	0	19	0	0	1	0
33	"Summon Elite Yeti"	0	0	160	0	0	23	0	0	1	0
34	"Summon Dark Knight"	0	0	200	0	0	25	0	0	1	0
35	"Summon Bali"		0	0	250	0	0	26	0	0	1	0
36	"Summon Soldier"		0	0	350	0	0	28	0	0	1	0

38	"Decay"			96	95	110	7	6	10	2	0	0	0
39	"Ice Storm"		93	80	100	5	6	10	2	0	0	0
40	"Nova"			100	150	180	45	10	15	2	0	0	0
41	"Twisting Slash"		0	0	10	10	2	10	0	1	0	1
42	"Hell Blast"		170	0	25	35	3	0	0	2	0	0
43	"Death Stab"		160	0	15	20	2	0	0	2	0	0

47	"Fury of Light"		28	0	8	0	3	0	0	1	0	1
48	"Inner Strength"		120	0	22	24	0	0	0	1	0	0
49	"Spit Fire"		110	0	9	0	3	0	0	1	0	0
50	"Devil"			60	120	160	0	0	10	0	0	0	0
51	"Ice Age"			0	0	10	28	8	0	0	0	2	0
52	"Penetration"		130	0	7	12	6	0	0	0	1	0

55	"Fire Slash"		0	0	15	20	2	0	0	0	0	1
56	"Power Slash"		0	0	15	0	10	10	0	0	0	1

60	"Force"			0	10	10	0	4	0	0	0	0	0
61	"Fire Burst"		74	100	25	0	6	0	0	0	0	0
62	"Eartquake"		0	150	0	50	10	16	1	1	1	1
63	"Summon"		98	0	70	30	0	48	0	0	0	0
64	"Increase Critical DMG"	82	0	50	50	0	0	0	0	0	0
65	"Electric Spark"		92	250	0	100	10	136	0	0	0	0
66	"Force Wave"		0	50	10	0	4	0	0	0	0	0
200	"test1"			0	0	40	0	0	0	0	0	0	0
201	"test2"			0	0	40	0	0	0	0	0	0	0
202	"test3"			0	0	40	0	0	0	0	0	0	0
